Date,Security,Label,PX_LAST
1997-01-02,UKX Index,FTSE 100,4057.4
1997-01-02,MCX Index,FTSE 250,4469.4
1997-01-02,ASX Index,FTSE All Share,1989.78
1997-01-03,UKX Index,FTSE 100,4089.5
1997-01-03,MCX Index,FTSE 250,4493.6
1997-01-03,ASX Index,FTSE All Share,2004.05
1997-01-06,UKX Index,FTSE 100,4106.5
1997-01-06,MCX Index,FTSE 250,4517.4
1997-01-06,ASX Index,FTSE All Share,2012.91
1997-01-07,UKX Index,FTSE 100,4078.8
1997-01-07,MCX Index,FTSE 250,4521.5
1997-01-07,ASX Index,FTSE All Share,2004.15
1997-01-08,UKX Index,FTSE 100,4087.5
1997-01-08,MCX Index,FTSE 250,4532.3
1997-01-08,ASX Index,FTSE All Share,2009.44
1997-01-09,UKX Index,FTSE 100,4087.0
1997-01-09,MCX Index,FTSE 250,4517.7
1997-01-09,ASX Index,FTSE All Share,2008.15
1997-01-10,UKX Index,FTSE 100,4056.6
1997-01-10,MCX Index,FTSE 250,4507.8
1997-01-10,ASX Index,FTSE All Share,1996.91
1997-01-13,UKX Index,FTSE 100,4107.3
1997-01-13,MCX Index,FTSE 250,4534.9
1997-01-13,ASX Index,FTSE All Share,2018.14
1997-01-14,UKX Index,FTSE 100,4168.2
1997-01-14,MCX Index,FTSE 250,4557.2
1997-01-14,ASX Index,FTSE All Share,2042.56
1997-01-15,UKX Index,FTSE 100,4158.9
1997-01-15,MCX Index,FTSE 250,4560.0
1997-01-15,ASX Index,FTSE All Share,2040.16
1997-01-16,UKX Index,FTSE 100,4197.5
1997-01-16,MCX Index,FTSE 250,4565.9
1997-01-16,ASX Index,FTSE All Share,2055.26
1997-01-17,UKX Index,FTSE 100,4207.7
1997-01-17,MCX Index,FTSE 250,4583.4
1997-01-17,ASX Index,FTSE All Share,2061.07
1997-01-20,UKX Index,FTSE 100,4194.0
1997-01-20,MCX Index,FTSE 250,4580.2
1997-01-20,ASX Index,FTSE All Share,2055.83
1997-01-21,UKX Index,FTSE 100,4195.5
1997-01-21,MCX Index,FTSE 250,4570.1
1997-01-21,ASX Index,FTSE All Share,2055.17
1997-01-22,UKX Index,FTSE 100,4219.1
1997-01-22,MCX Index,FTSE 250,4587.0
1997-01-22,ASX Index,FTSE All Share,2065.27
1997-01-23,UKX Index,FTSE 100,4271.5
1997-01-23,MCX Index,FTSE 250,4616.0
1997-01-23,ASX Index,FTSE All Share,2087.11
1997-01-24,UKX Index,FTSE 100,4218.8
1997-01-24,MCX Index,FTSE 250,4598.0
1997-01-24,ASX Index,FTSE All Share,2066.62
1997-01-27,UKX Index,FTSE 100,4212.0
1997-01-27,MCX Index,FTSE 250,4593.1
1997-01-27,ASX Index,FTSE All Share,2063.71
1997-01-28,UKX Index,FTSE 100,4237.4
1997-01-28,MCX Index,FTSE 250,4582.7
1997-01-28,ASX Index,FTSE All Share,2071.89
1997-01-29,UKX Index,FTSE 100,4207.5
1997-01-29,MCX Index,FTSE 250,4566.5
1997-01-29,ASX Index,FTSE All Share,2059.82
1997-01-30,UKX Index,FTSE 100,4228.4
1997-01-30,MCX Index,FTSE 250,4572.6
1997-01-30,ASX Index,FTSE All Share,2068.16
1997-01-31,UKX Index,FTSE 100,4275.8
1997-01-31,MCX Index,FTSE 250,4595.4
1997-01-31,ASX Index,FTSE All Share,2087.61
1997-02-03,UKX Index,FTSE 100,4257.8
1997-02-03,MCX Index,FTSE 250,4574.9
1997-02-03,ASX Index,FTSE All Share,2079.6
1997-02-04,UKX Index,FTSE 100,4260.9
1997-02-04,MCX Index,FTSE 250,4575.7
1997-02-04,ASX Index,FTSE All Share,2081.2
1997-02-05,UKX Index,FTSE 100,4281.5
1997-02-05,MCX Index,FTSE 250,4583.9
1997-02-05,ASX Index,FTSE All Share,2089.61
1997-02-06,UKX Index,FTSE 100,4265.9
1997-02-06,MCX Index,FTSE 250,4576.6
1997-02-06,ASX Index,FTSE All Share,2083.34
1997-02-07,UKX Index,FTSE 100,4307.8
1997-02-07,MCX Index,FTSE 250,4592.1
1997-02-07,ASX Index,FTSE All Share,2099.88
1997-02-10,UKX Index,FTSE 100,4307.7
1997-02-10,MCX Index,FTSE 250,4596.7
1997-02-10,ASX Index,FTSE All Share,2100.56
1997-02-11,UKX Index,FTSE 100,4304.3
1997-02-11,MCX Index,FTSE 250,4586.6
1997-02-11,ASX Index,FTSE All Share,2098.52
1997-02-12,UKX Index,FTSE 100,4304.3
1997-02-12,MCX Index,FTSE 250,4574.5
1997-02-12,ASX Index,FTSE All Share,2097.69
1997-02-13,UKX Index,FTSE 100,4327.1
1997-02-13,MCX Index,FTSE 250,4586.7
1997-02-13,ASX Index,FTSE All Share,2107.21
1997-02-14,UKX Index,FTSE 100,4341.0
1997-02-14,MCX Index,FTSE 250,4606.0
1997-02-14,ASX Index,FTSE All Share,2114.12
1997-02-17,UKX Index,FTSE 100,4337.8
1997-02-17,MCX Index,FTSE 250,4606.5
1997-02-17,ASX Index,FTSE All Share,2113.17
1997-02-18,UKX Index,FTSE 100,4332.3
