index,sample,spec,shock,horizon,shock_std,response_1sd_tightening,response_1sd_easing,cum_effect_1sd_tightening,cum_effect_1sd_easing,asymmetry_pvalue,nobs
ftse250,post_2009,joint,path,0,0.007543672872961001,-0.0004919228553981998,0.000828068936367273,-0.0004919228553981998,0.000828068936367273,0.0009157093055996672,4300
ftse250,post_2009,joint,path,5,0.007543672872961001,0.0007647320556699812,0.0015463394635784275,0.0007647320556699812,0.0015463394635784275,0.5781055228969824,4295
ftse250,post_2009,joint,path,10,0.007543672872961001,-9.670660059164432e-05,0.0014675118583028198,-9.670660059164432e-05,0.0014675118583028198,0.18691094658152962,4290
ftse250,post_2009,joint,path,20,0.007543672872961001,-0.0005479354470654739,0.00039633273452125344,-0.0005479354470654739,0.00039633273452125344,0.6183746575499612,4280
ftse250,post_2009,joint,qe,0,0.008275834415266841,-3.234771335751741e-05,8.197477454232871e-05,-3.234771335751741e-05,8.197477454232871e-05,0.7888706159373323,4300
ftse250,post_2009,joint,qe,5,0.008275834415266841,-0.0005294678407447307,0.0009604481425295232,-0.0005294678407447307,0.0009604481425295232,0.26336038657247485,4295
ftse250,post_2009,joint,qe,10,0.008275834415266841,0.00029159600810664267,0.0011433557787395275,0.00029159600810664267,0.0011433557787395275,0.5137862186961075,4290
ftse250,post_2009,joint,qe,20,0.008275834415266841,0.0010684005861406568,0.0037297190404098415,0.0010684005861406568,0.0037297190404098415,0.16502753814432547,4280
ftse250,post_2009,joint,target,0,0.006034745462165063,-0.0004098701791760801,-0.0005600593933761776,-0.0004098701791760801,-0.0005600593933761776,0.5846239398025982,4300
ftse250,post_2009,joint,target,5,0.006034745462165063,-0.000423797731377025,-0.00259499339628065,-0.000423797731377025,-0.00259499339628065,0.0070120141902172495,4295
ftse250,post_2009,joint,target,10,0.006034745462165063,-0.0008858760378910093,-0.0021423663996706778,-0.0008858760378910093,-0.0021423663996706778,0.10387191657897454,4290
ftse250,post_2009,joint,target,20,0.006034745462165063,-0.001030891376955972,-0.0030538651526000587,-0.001030891376955972,-0.0030538651526000587,0.08776686165390193,4280
