index,sample,spec,shock,horizon,shock_std,response_1sd_tightening,response_1sd_easing,cum_effect_1sd_tightening,cum_effect_1sd_easing,asymmetry_pvalue,nobs
ftse_all_share,full,joint,path,0,0.007833839481115452,-0.00041388051555282964,0.00017116177027790585,-0.00041388051555282964,0.00017116177027790585,0.6181385689185421,7269
ftse_all_share,full,joint,path,5,0.007833839481115452,0.0005148440105996825,0.0004124394120656872,0.0005148440105996825,0.0004124394120656872,0.3192539216286314,7264
ftse_all_share,full,joint,path,10,0.007833839481115452,0.0004457859841545343,0.0012615277103285472,0.0004457859841545343,0.0012615277103285472,0.19220040009452577,7259
ftse_all_share,full,joint,path,20,0.007833839481115452,-0.00034917587123638725,0.0010790870383038714,-0.00034917587123638725,0.0010790870383038714,0.6633410475056061,7249
ftse_all_share,full,joint,qe,0,0.008275834415266841,-4.3201149806399784e-05,0.0003210658791928161,-4.3201149806399784e-05,0.0003210658791928161,0.5469103467018642,4300
ftse_all_share,full,joint,qe,5,0.008275834415266841,-0.0002994178537648631,0.0008841496809591702,-0.0002994178537648631,0.0008841496809591702,0.7536112988697157,4295
ftse_all_share,full,joint,qe,10,0.008275834415266841,0.00019843185014515983,0.0006648023458525146,0.00019843185014515983,0.0006648023458525146,0.6023017505269488,4290
ftse_all_share,full,joint,qe,20,0.008275834415266841,0.00026398242325516915,0.002376234178471764,0.00026398242325516915,0.002376234178471764,0.21913269724927198,4280
ftse_all_share,full,joint,target,0,0.011219078718411933,-0.0006109459526454318,-0.0006508516145006801,-0.0006109459526454318,-0.0006508516145006801,0.006679465719228905,7269
ftse_all_share,full,joint,target,5,0.011219078718411933,-0.0008661751593756744,-0.0019383575195956856,-0.0008661751593756744,-0.0019383575195956856,0.0006503420877395355,7264
ftse_all_share,full,joint,target,10,0.011219078718411933,-0.0015045069143142607,-0.002214447343710327,-0.0015045069143142607,-0.002214447343710327,0.009220183053398957,7259
ftse_all_share,full,joint,target,20,0.011219078718411933,-0.0005125024149769997,-0.0016281602712389924,-0.0005125024149769997,-0.0016281602712389924,0.12458798944652857,7249
