index,sample,spec,shock,horizon,beta_pos,se_pos,pvalue_pos,ci_lower_pos,ci_upper_pos,beta_neg,se_neg,pvalue_neg,ci_lower_neg,ci_upper_neg,asymmetry_test_stat,asymmetry_pvalue,nobs,r_squared,num_regressors
ftse250,full,single,target,0,-0.04056708185220994,0.012813905234071084,0.0015462304442739347,-0.06568233611098927,-0.015451827593430615,0.032708952052894674,0.024158293580956516,0.1757545692245278,-0.014641303365780095,0.08005920747156944,-2.669826845024334,0.007589037196403426,7269,0.011782688630044391,8
ftse250,full,single,target,1,-0.06208721684281975,0.0201640356360415,0.002076223203312284,-0.1016087266894611,-0.02256570699617841,0.011942744576883492,0.02664802134613106,0.6540331970339599,-0.040287377261533384,0.06417286641530037,-2.220001939539956,0.026418635955863363,7268,0.00920556200163003,8
ftse250,full,single,target,2,-0.06131347302301265,0.0331198801638163,0.06413231537760974,-0.1262284381440926,0.003601492098067295,0.023073790622500995,0.02455767285826078,0.34743528832293946,-0.025059248179690134,0.07120682942469213,-2.049161302526643,0.040446344685518845,7267,0.005231093326689029,8
ftse250,full,single,target,3,-0.03675156990242644,0.03860690969443764,0.3411259893218406,-0.11242111290352422,0.03891797309867134,0.07626667918141558,0.0391802807585229,0.05158777797464441,-0.0005266711052893114,0.15306002946812047,-2.0544547032942693,0.03993170318639245,7266,0.004962582431697449,8
ftse250,full,single,target,4,-0.018317235364969025,0.04652340630354835,0.6937871415146906,-0.10950311171992379,0.07286864098998573,0.11436022163065233,0.0458914105780668,0.012703518314558177,0.024413056897641394,0.20430738636366327,-2.037612236816444,0.04158872729797394,7265,0.004126815471651724,8
ftse250,full,single,target,5,-0.03460012691608728,0.05894544969451814,0.5572134148736287,-0.15013320831734284,0.08093295448516827,0.14798960735541386,0.05945290775353083,0.012803437660498731,0.03146190815849344,0.2645173065523343,-2.190909238740879,0.028458361047138024,7264,0.002973582748129089,8
ftse250,full,single,target,6,-0.05477684310682692,0.058956848361802164,0.3528369542694426,-0.17033226589595915,0.060778579682305316,0.13403715900302796,0.06574710278949986,0.041482194610104786,0.005172837535608238,0.2629014804704477,-2.1508713807419952,0.031486353027036645,7263,0.00325520324881734,8
ftse250,full,single,target,7,-0.06332553867369486,0.06383769528340293,0.3212086442218858,-0.1884474214291646,0.06179634408177487,0.1524081859491298,0.08102907504986372,0.0599845179751347,-0.006408801148603066,0.3112251730468627,-2.106422540575383,0.03516766502886088,7262,0.003669693642683547,8
ftse250,full,single,target,8,-0.054409944365528526,0.06376248455085913,0.3934806456049773,-0.1793844140852124,0.07056452535415536,0.14629288738201116,0.08129880452292317,0.07194800546945793,-0.013052769482918253,0.3056385442469406,-1.95843122193249,0.05017943415444228,7261,0.0033175410261481186,8
ftse250,full,single,target,9,-0.06782361523209857,0.07053629170058685,0.3362796595357902,-0.2060747469652488,0.07042751650105167,0.1892262484943713,0.096259079542173,0.04932153782871053,0.0005584525917122218,0.3778940443970304,-2.1683168663919044,0.03013458601904215,7260,0.0038942106852735137,8
ftse250,full,single,target,10,-0.08785946538762755,0.08087912092089233,0.2773436822770633,-0.2463825423925765,0.07066361161732142,0.20789312247123456,0.10847015968468163,0.05528968881981404,-0.004708390510741428,0.42049463545321053,-2.2005007587406364,0.02777138616670582,7259,0.004429036691497745,8
ftse250,full,single,target,11,-0.11422738669336292,0.07766188359984938,0.14133724187163008,-0.2664446785490677,0.03798990516234187,0.21258359196066648,0.11462194118876412,0.06364621223384855,-0.012075412769311206,0.43724259669064414,-2.38014333648965,0.0173059049688268,7258,0.005031653866755859,8
ftse250,full,single,target,12,-0.14416750374104162,0.08553178199361894,0.09188383940836081,-0.31180979644853474,0.0234747889664515,0.1648440871611896,0.09261944257476659,0.07510869185997471,-0.016690020285352936,0.3463781946077321,-2.470864309302036,0.013478695116639149,7257,0.003989647175715039,8
ftse250,full,single,target,13,-0.152430582602204,0.09021939211906647,0.09111321129317249,-0.32926059115557427,0.024399425951166287,0.17379787795899254,0.09162373726250447,0.05784573251046575,-0.005784647075516236,0.3533804029935013,-2.55408464620493,0.01064673703921369,7256,0.004181060740625964,8
ftse250,full,single,target,14,-0.13187929612491917,0.09146002322881153,0.14932105828538583,-0.3111409416533898,0.04738234940355143,0.1922087393548672,0.08792588502274416,0.028813313283599123,0.019874004710288662,0.36454347399944576,-2.571495688821589,0.010126027609829384,7255,0.004122406198534323,8
