index,sample,spec,shock,horizon,beta_tightening,se_tightening,pvalue_tightening,ci_lower_tightening,ci_upper_tightening,beta_easing,se_easing,pvalue_easing,ci_lower_easing,ci_upper_easing,asymmetry_test_stat,asymmetry_pvalue,nobs,r_squared,num_regressors
ftse250,pre_super_thursday,single,qe,0,0.05046181986637578,0.06343126730365078,0.426302115780007,-0.07386346404877975,0.1747871037815313,-0.0019006759040240853,0.0686181390638349,0.9779019647528553,-0.1363922284691405,0.13259087666109232,0.5628486859853656,0.5735379246329608,1621,0.01692913682160413,8
ftse250,pre_super_thursday,single,qe,1,-0.0038118954703240215,0.08192886898548599,0.9628903022151571,-0.16439247868187654,0.1567686877412285,0.00815458453544565,0.09114835007075568,0.9287123906650283,-0.17049618160323549,0.1868053506741268,-0.09791970530974378,0.9219960526062666,1621,0.014641185323063244,8
ftse250,pre_super_thursday,single,qe,2,0.027468737219500442,0.1010686102327941,0.7857888231983876,-0.170625738836776,0.22556321327577689,-0.037559159715983156,0.12197420836177938,0.7581378325553626,-0.27662860810507073,0.20151028867310444,0.40924859045805945,0.6823572388906828,1621,0.015294164001736776,8
ftse250,pre_super_thursday,single,qe,3,0.06160632678184928,0.10828437463747306,0.5694030341464003,-0.15063104750759793,0.27384370107129646,-0.017528443465858547,0.09759013614589206,0.8574565080178238,-0.20880511031180699,0.17374822338008988,0.5371879235294965,0.5911378122361917,1621,0.016415169644832694,8
ftse250,pre_super_thursday,single,qe,4,0.0696894914242379,0.13803078138528962,0.6136405242746004,-0.20085084009092974,0.34022982293940557,-0.0028352769756867322,0.12374377125384854,0.9817200835287765,-0.24537306863322986,0.2397025146818564,0.3868628196025157,0.6988577677253368,1621,0.01577859809880877,8
ftse250,pre_super_thursday,single,qe,5,0.04558027965620835,0.13176835761242772,0.7294087157910321,-0.21268570126414998,0.3038462605765667,0.02580884480937183,0.1318382141051524,0.8447968558490054,-0.23259405483672685,0.28421174445547054,0.10391354448399723,0.9172379583559138,1621,0.01514892894111819,8
ftse250,pre_super_thursday,single,qe,6,0.046249132754055663,0.13364399860634277,0.7292959895516646,-0.21569310451437612,0.3081913700224875,0.03454824192302371,0.139750678588498,0.8047430670000157,-0.23936308811043236,0.30845957195647977,0.058280320742497504,0.9535253426398531,1621,0.013963883323682813,8
ftse250,pre_super_thursday,single,qe,7,0.07908823696233445,0.14959321816597748,0.5970214501310391,-0.2141144706429814,0.37229094456765033,0.014154250003045328,0.12066805741832608,0.9066230679582108,-0.22235514253687377,0.2506636425429644,0.32198369432332974,0.7474650473124227,1621,0.012154497194730829,8
ftse250,pre_super_thursday,single,qe,8,0.0756945594597273,0.15830231918326376,0.6325330816583667,-0.23457798613946967,0.3859671050589243,0.07131609299354458,0.09619780684045934,0.45848220471829504,-0.11723160841375571,0.25986379440084484,0.022859164716673458,0.9817626137118096,1621,0.009699490093872054,8
ftse250,pre_super_thursday,single,qe,9,0.057256244151125,0.18331658690855998,0.7547857030516837,-0.3020442661896525,0.41655675449190255,0.08406504816879787,0.0918777987848057,0.3602095588457369,-0.09601543744942131,0.26414553378701705,-0.12856685815887803,0.8977003919697727,1621,0.006701689844212044,8
ftse250,pre_super_thursday,single,qe,10,0.06603481796783225,0.18763061631529487,0.7248828650366435,-0.30172119001014575,0.4337908259458102,0.06925933651369258,0.12419123553097958,0.5770608918125146,-0.1741554851270274,0.3126741581544125,-0.01412994472519664,0.988726310402067,1621,0.004163039190869466,8
ftse250,pre_super_thursday,single,qe,11,0.06815877748874699,0.19244693295696869,0.7232120796880257,-0.3090372111069116,0.4453547660844056,0.09248020369210912,0.13309508692775365,0.4871536303035924,-0.16838616668628803,0.3533465740705063,-0.10240139859242658,0.9184380735933311,1621,0.0027779524185136406,8
ftse250,pre_super_thursday,single,qe,12,0.0460440821021789,0.18603853046276084,0.8045231806666899,-0.31859143760483233,0.41067960180919016,0.2079988681010622,0.14757681760728011,0.1587087111210166,-0.08125169440920685,0.4972494306113312,-0.6696364095921166,0.5030895979515697,1621,0.003076967240157491,8
ftse250,pre_super_thursday,single,qe,13,-0.031875501405433854,0.16968376347895842,0.8509923613556909,-0.3644556778241923,0.30070467501332465,0.26112227875142136,0.13551428974620042,0.05399228314345577,-0.0044857291511314346,0.5267302866539741,-1.3210112848993434,0.1864976014836528,1621,0.003439699526551099,8
ftse250,pre_super_thursday,single,qe,14,-0.061238573294203985,0.1909641382696975,0.7484521374601492,-0.4355282843028111,0.31305113771440307,0.2580454470713454,0.1415143986676737,0.06823417599218139,-0.019322774317295066,0.535413668459986,-1.3201973785892354,0.18676912697577752,1621,0.0035063470473862823,8
ftse250,pre_super_thursday,single,qe,15,-0.013527585674212705,0.2099537355348287,0.9486268324473028,-0.42503690732247695,0.39798173597405156,0.27561349466800467,0.1460892706732179,0.05921278626768494,-0.010721475851502404,0.5619484651875117,-1.1002026779985086,0.2712438240501288,1621,0.0040409450036439365,8
ftse250,pre_super_thursday,single,qe,16,0.12842148505232662,0.19241427493427346,0.5045027338318538,-0.24871049381884938,0.5055534639235026,0.2995831739480606,0.12898576180160432,0.020200299060349994,0.046771080816916166,0.552395267079205,-0.7072443204294183,0.4794146604037267,1621,0.005304749978399581,8
ftse250,pre_super_thursday,single,qe,17,0.21732107540734616,0.21139120655572735,0.30392553976980763,-0.19700568944187943,0.6316478402565717,0.18986968798253992,0.12492844005854158,0.1285543170087691,-0.05499005453220157,0.4347294304972814,0.1065288133418726,0.9151627957327289,1621,0.0042324387316557965,8
ftse250,pre_super_thursday,single,qe,18,0.24583259042665098,0.22344473936575426,0.27124754803310425,-0.19211909873022734,0.6837842795835293,0.12991382718991829,0.12764630915129097,0.308790090643026,-0.12027293874661199,0.38010059312644856,0.42909497996355817,0.6678541054079677,1621,0.003788032377325057,8
ftse250,pre_super_thursday,single,qe,19,0.2408053422083308,0.2215143195831115,0.2769983524028431,-0.1933627241745677,0.6749734085912293,0.1935948975778258,0.14002692542917514,0.166801417207198,-0.08085787626335747,0.46804767141900905,0.17124325641730992,0.864032496092656,1621,0.0033261817559019358,8
