index,sample,spec,shock,horizon,beta_tightening,se_tightening,pvalue_tightening,ci_lower_tightening,ci_upper_tightening,beta_easing,se_easing,pvalue_easing,ci_lower_easing,ci_upper_easing,asymmetry_test_stat,asymmetry_pvalue,nobs,r_squared,num_regressors
ftse250,pre_super_thursday,single,target,0,-0.04560736243435602,0.014603297064008347,0.001789650374139826,-0.07422982467981237,-0.016984900188899664,-0.02446079687305268,0.028477049283092616,0.39035966660273025,-0.08027581346791421,0.031354219721808844,-0.6646553379500139,0.5062709660449046,4590,0.015258594294866756,8
ftse250,pre_super_thursday,single,target,1,-0.057575017830617296,0.020701506688055926,0.005415846195054074,-0.09814997093920691,-0.017000064722027683,0.0009683737116480454,0.029533036050328428,0.9738424453934112,-0.05691637694699567,0.05885312437029176,-1.6208069054850522,0.10505905706505285,4590,0.009533271110866992,8
ftse250,pre_super_thursday,single,target,2,-0.05133943232243193,0.03662535591801784,0.16099122176216474,-0.1231251299217469,0.020446265276883036,0.003058601448094696,0.023552815184759636,0.8966760875090769,-0.043104916314034195,0.04922211921022358,-1.2567598053454139,0.20884062485105426,4590,0.004853072668710712,8
ftse250,pre_super_thursday,single,target,3,-0.03093525033535129,0.044208410643274014,0.4840775817636114,-0.11758373519616835,0.05571323452546578,-0.05444434530166815,0.04218426916165129,0.19683149831012525,-0.1371255128585047,0.028236822255168388,0.3865924794585907,0.6990579264080946,4590,0.005481864732946096,8
ftse250,pre_super_thursday,single,target,4,-0.03034816718734644,0.055481658857697215,0.5843824495359404,-0.13909221854843298,0.0783958841737401,-0.10171062859446325,0.0501817682218273,0.04267834302547074,-0.20006689430924476,-0.0033543628796817437,0.9528494809963328,0.3406663395995174,4590,0.00505423125052229,8
ftse250,pre_super_thursday,single,target,5,-0.05176662427010906,0.07028742081812579,0.46142699694176637,-0.18952996907363562,0.0859967205334175,-0.1280841359476988,0.0640985529448202,0.04569091143223415,-0.2537172997195464,-0.002450972175851218,0.8001078980769072,0.4236482855420287,4590,0.00400914454822332,8
ftse250,pre_super_thursday,single,target,6,-0.07898535269595573,0.07008617665329675,0.2597531490945897,-0.21635425893641735,0.0583835535445059,-0.12795402861703178,0.07288461970773305,0.07916191285067903,-0.2708078832441886,0.014899826010124989,0.48280450122328483,0.6292345544647653,4590,0.0041987890021921714,8
ftse250,pre_super_thursday,single,target,7,-0.09526048886246566,0.07609300501845441,0.2106079528714735,-0.2444027786986363,0.053881800973704985,-0.1537954064395237,0.08982045511642701,0.08684992546026613,-0.32984349846772065,0.022252685588673243,0.4939953745406602,0.6213094461433829,4590,0.005082331116057048,8
ftse250,pre_super_thursday,single,target,8,-0.0883470025780253,0.07535409108742971,0.24102656129451827,-0.23604102110938754,0.05934701595333694,-0.1599803179835604,0.08760711752791946,0.06783354879460579,-0.3316902683382825,0.01172963237116173,0.6140649318414012,0.5391724204687457,4590,0.004875832100994626,8
ftse250,pre_super_thursday,single,target,9,-0.0983236118701071,0.08342361781033884,0.23855493241469894,-0.26183390277837126,0.06518667903815703,-0.195216813809634,0.10717030234331679,0.06852223134301688,-0.40527060640253487,0.014836978783266924,0.7080233318582364,0.47893076850323324,4590,0.005618447049121511,8
ftse250,pre_super_thursday,single,target,10,-0.10984583233668284,0.09461976965662672,0.24567508216064116,-0.2953005808636712,0.07560891619030553,-0.21557185950380048,0.12154900762478033,0.07613949796210445,-0.4538079144483699,0.022664195440768947,0.6818117637462905,0.4953579848034214,4590,0.006087430798761062,8
ftse250,pre_super_thursday,single,target,11,-0.1426319086499464,0.09097469167270901,0.11692322926344624,-0.32094230432845605,0.035678487028563244,-0.21607110591762155,0.13159670005732887,0.1006068172976029,-0.47400063802998615,0.04185842619474303,0.45550883078678056,0.6487432159481543,4590,0.0070446633043939055,8
ftse250,pre_super_thursday,single,target,12,-0.1727157765431309,0.10027587310275074,0.08499597759824208,-0.36925648782452236,0.023824934738260556,-0.15654434527993571,0.10765683545211753,0.1459171909603941,-0.36755174276608604,0.05446305220621464,-0.10942117835940962,0.9128684367007367,4590,0.006375143270198835,8
ftse250,pre_super_thursday,single,target,13,-0.18082356770200095,0.10656927760743186,0.0897401268035845,-0.3896993518125674,0.028052216408565478,-0.1688944465304499,0.10433081160522725,0.10548261021218722,-0.3733828372766953,0.03559394421579551,-0.07969761819755142,0.936477753832372,4590,0.006886874849766134,8
ftse250,pre_super_thursday,single,target,14,-0.17023651533874337,0.10771643191871053,0.11401217609408984,-0.381360721899416,0.04088769122192926,-0.1877147064968812,0.09870660649994098,0.057204617536195095,-0.38117965523676556,0.005750242243003106,0.11913898665882762,0.9051652438046246,4590,0.006883723837465716,8
ftse250,pre_super_thursday,single,target,15,-0.15125364847595574,0.10221139131433554,0.1389234120738734,-0.3515879754520534,0.04908067850014192,-0.1406142770159563,0.08591674440386066,0.10170693789643165,-0.3090110960475232,0.02778254201561059,-0.07871235158161857,0.9372614208227662,4590,0.0055306306224461865,8
ftse250,pre_super_thursday,single,target,16,-0.11456246790926869,0.10394541793367051,0.2704005401021874,-0.3182954870592629,0.08917055124072551,-0.11692528733388778,0.08967711158917056,0.19228554702717682,-0.2926924260486621,0.05884185138088653,0.016960528517825806,0.9864681049187713,4590,0.004460035735379009,8
ftse250,pre_super_thursday,single,target,17,-0.12913145690768268,0.09876711962132491,0.19106547109795846,-0.32271501136547953,0.06445209755011413,-0.1543255944039038,0.11979792520796195,0.197670811813893,-0.3891295278115092,0.0804783390037016,0.16032448433713015,0.872625472628334,4590,0.004189769688246137,8
ftse250,pre_super_thursday,single,target,18,-0.09704264027735836,0.11419200657792836,0.3954252208199086,-0.3208589731700979,0.12677369261538124,-0.14706416653771331,0.11162980959347521,0.1876954113741124,-0.36585859334092474,0.07173026026549809,0.30896336957202103,0.757349391309616,4590,0.003651447892260018,8
ftse250,pre_super_thursday,single,target,19,-0.048427617541839475,0.11787313199767378,0.6811860034407231,-0.27945895625728007,0.18260372117360113,-0.14243941677873775,0.1140086000270249,0.21152819761560182,-0.36589627283170656,0.08101743927423105,0.5576546976156471,0.5770801981983262,4590,0.0033399509589968623,8
ftse250,pre_super_thursday,single,target,20,-0.028241973443311988,0.12678148756950092,0.8237215075179767,-0.2767336890795338,0.22024974219290983,-0.14957091257338845,0.1179816347023115,0.20488816587591008,-0.38081491658991895,0.08167309144314208,0.6776786527237579,0.49797546445050567,4590,0.003628099115523864,8
