index,sample,robustness_spec,shock,horizon,control_set,return_lags,shock_std,response_1sd_tightening,response_1sd_easing,asymmetry_pvalue,nobs
ftse250,full,baseline,path,0,own_lags_only,5,0.007831688458139412,-0.00030566217784429404,0.0003551183397112661,0.9108808050933616,7269
ftse250,full,baseline,path,5,own_lags_only,5,0.007831688458139412,0.00041564561105555226,0.0005514083977494624,0.33652790638171914,7264
ftse250,full,baseline,path,10,own_lags_only,5,0.007831688458139412,-0.00011311328899352811,0.0010826899536109287,0.5248319839606999,7259
ftse250,full,baseline,path,20,own_lags_only,5,0.007831688458139412,-0.0006769601835396402,0.0009912756599038059,0.8823146379580394,7249
ftse250,full,baseline,qe,0,own_lags_only,5,0.008275834415266841,-3.234771335751741e-05,8.197477454232871e-05,0.929086703657377,4300
ftse250,full,baseline,qe,5,own_lags_only,5,0.008275834415266841,-0.0005294678407447307,0.0009604481425295232,0.8498338186324321,4295
ftse250,full,baseline,qe,10,own_lags_only,5,0.008275834415266841,0.00029159600810664267,0.0011433557787395275,0.4783830015210564,4290
ftse250,full,baseline,qe,20,own_lags_only,5,0.008275834415266841,0.0010684005861406568,0.0037297190404098415,0.07302816733400594,4280
ftse250,full,baseline,target,0,own_lags_only,5,0.011215995251866777,-0.0005386414211540713,-0.00044868789306281225,0.008380103511075813,7269
ftse250,full,baseline,target,5,own_lags_only,5,0.011215995251866777,-0.0007371997190215435,-0.002079309910215579,0.00899836177835553,7264
ftse250,full,baseline,target,10,own_lags_only,5,0.011215995251866777,-0.0015502819812792752,-0.002955870564103034,0.011340376338146831,7259
ftse250,full,baseline,target,20,own_lags_only,5,0.011215995251866777,-0.0009823153547952016,-0.002466939131151158,0.09259728943347836,7249
ftse250,full,lag10,path,0,own_lags_only,10,0.007831688458139412,-0.00034502192037254526,0.0003671520304241446,0.958915740204037,7268
ftse250,full,lag10,path,5,own_lags_only,10,0.007831688458139412,0.0003865710190386443,0.0005076454591054851,0.3653019370814178,7263
ftse250,full,lag10,path,10,own_lags_only,10,0.007831688458139412,-0.00014082435536559836,0.0010518313829728763,0.546210908826217,7258
ftse250,full,lag10,path,20,own_lags_only,10,0.007831688458139412,-0.0006891743228988406,0.0009722914546355436,0.8927602608513145,7248
